source,task,risk_decile,cases,mean_baseline_p_event,exact_error_rate,char_error_rate,hidden_conflict_rate
real_source,invoice_c6d,10,300,0.9750516670942306,0.21333333333333335,0.03333333333333334,0
real_source,stock_5d,1,300,0.7974337887763977,0.9166666666666666,0.288,0
real_source,stock_5d,2,300,0.8489120099941889,0.9166666666666666,0.2653333333333333,0
real_source,stock_5d,3,300,0.8746619673569997,0.8966666666666666,0.23399999999999999,0
real_source,stock_5d,4,300,0.8968932735919952,0.9466666666666667,0.23999999999999996,0
real_source,stock_5d,5,300,0.9186169332265854,0.93,0.22799999999999998,0
real_source,stock_5d,6,300,0.9361752957105637,0.7966666666666666,0.17466666666666664,0
real_source,stock_5d,7,300,0.9505143982172012,0.7066666666666667,0.1553333333333333,0
real_source,stock_5d,8,300,0.9613494193553924,0.5433333333333333,0.11399999999999998,0
real_source,stock_5d,9,300,0.9719847041368485,0.30666666666666664,0.06933333333333332,0
real_source,stock_5d,10,300,0.9823586138089498,0.18333333333333332,0.039999999999999994,0
semi_real,amount,1,300,0.5458744676907857,0.9666666666666667,0.26333333333333336,0.15
semi_real,amount,2,300,0.641236830552419,0.9533333333333334,0.26,0
semi_real,amount,3,300,0.6945987864335378,0.8933333333333333,0.24222222222222223,0
semi_real,amount,4,300,0.7355153055985769,0.9,0.22722222222222221,0
semi_real,amount,5,300,0.7763779431581497,0.8966666666666666,0.21555555555555556,0
semi_real,amount,6,300,0.8202001760403316,0.86,0.19277777777777777,0
semi_real,amount,7,300,0.8606721303860346,0.81,0.1683333333333333,0
semi_real,amount,8,300,0.8921327944596609,0.6966666666666667,0.1361111111111111,0
semi_real,amount,9,300,0.915642759402593,0.5533333333333333,0.10666666666666665,0
semi_real,amount,10,300,0.942901751001676,0.28,0.05055555555555555,0
semi_real,date,1,300,0.4270847216248512,0.9466666666666667,0.144,0.9566666666666667
semi_real,date,2,300,0.5435403257608413,0.8166666666666667,0.11133333333333331,0
semi_real,date,3,300,0.606584487358729,0.72,0.09533333333333331,0
semi_real,date,4,300,0.6614890968799592,0.6066666666666667,0.08066666666666665,0
semi_real,date,5,300,0.7102729096015294,0.5433333333333333,0.07199999999999998,0
semi_real,date,6,300,0.7563233383496603,0.5066666666666667,0.060666666666666653,0
semi_real,date,7,300,0.8036641550064086,0.51,0.06566666666666665,0
semi_real,date,8,300,0.8425064754486083,0.44,0.05166666666666665,0
semi_real,date,9,300,0.8723625818888346,0.32666666666666666,0.041999999999999996,0
semi_real,date,10,300,0.9067810082435608,0.32666666666666666,0.03666666666666666,0
semi_real,dose,1,300,0.793894047041734,0.9566666666666667,0.2773333333333333,0.013333333333333334
semi_real,dose,2,300,0.8635792106389999,0.9233333333333333,0.252,0
semi_real,dose,3,300,0.8884655032555262,0.9233333333333333,0.24399999999999997,0
semi_real,dose,4,300,0.9053542764981588,0.9666666666666667,0.24599999999999997,0
semi_real,dose,5,300,0.9196314187844594,0.9366666666666666,0.2213333333333333,0
semi_real,dose,6,300,0.9313861580689748,0.9233333333333333,0.21599999999999997,0
semi_real,dose,7,300,0.9442466326554616,0.88,0.1953333333333333,0
semi_real,dose,8,300,0.957352569103241,0.7733333333333333,0.17199999999999996,0
semi_real,dose,9,300,0.969880826473236,0.42333333333333334,0.09133333333333332,0
semi_real,dose,10,300,0.9814652746915817,0.16,0.033333333333333326,0
semi_real,product_code,1,300,0.5204035241405169,0.9866666666666667,0.3894444444444445,0.31333333333333335
semi_real,product_code,2,300,0.6558630979061126,0.9733333333333334,0.3294444444444445,0
semi_real,product_code,3,300,0.7064488484462103,0.97,0.31222222222222223,0
semi_real,product_code,4,300,0.7437852062781651,0.9766666666666667,0.305,0
semi_real,product_code,5,300,0.7770403814315796,0.9633333333333334,0.29555555555555557,0
semi_real,product_code,6,300,0.8077050548791885,0.9733333333333334,0.28444444444444444,0
semi_real,product_code,7,300,0.8369331665833791,0.9566666666666667,0.26,0
semi_real,product_code,8,300,0.8665407147010168,0.9533333333333334,0.22833333333333333,0
semi_real,product_code,9,300,0.8991317794720332,0.8966666666666666,0.19833333333333333,0
semi_real,product_code,10,300,0.9369867263237636,0.55,0.10333333333333332,0
