block,task_family,task,setting,variant,variant_family,runs,mean_p_event,delta_p_event,ci95_delta_p_event,up_rate_p_event,mean_illegal_mass,delta_illegal_mass,low_p_event_rate,unconstrained_event_rate,delta_unconstrained_event_rate,up_rate_legal,constrained_event_rate,char_accuracy,delta_char_accuracy,up_rate_char,constrained_char_accuracy,delta_constrained_char_accuracy,exact_sequence_accuracy,delta_exact_sequence_accuracy,up_rate_exact,constrained_exact_sequence_accuracy,delta_constrained_exact_sequence_accuracy,mean_nll,hidden_conflict_rate,fairness_flags,claim_use,notes
semi_real_main,semi_real_field,product_code,labeled25_unlabeled100,B4_semi_event_0.1,B4,2,0.9346086685856183,0.16879522932072477,0.015004266163706708,,0.06539133141438169,-0.16879522932072477,0.0,1.0,0.043333333333333335,,1.0,0.7483333333333333,0.02888888888888891,,0.7483333333333333,0.024444444444444435,0.11666666666666667,0.05333333333333334,,0.11666666666666667,0.05333333333333334,0.9390616004334555,0.0,warn_b1_b3_not_independent_rows,partial semi-real evidence,
semi_real_main,semi_real_field,product_code,labeled25_unlabeled100,B4_semi_event_0.5,B4,2,0.9742269866665205,0.20841354740162693,0.01949549162089826,,0.025773013333479533,-0.20841354740162693,0.0,1.0,0.043333333333333335,,1.0,0.7413888888888889,0.021944444444444433,,0.7413888888888889,0.01749999999999996,0.09833333333333333,0.034999999999999996,,0.09833333333333333,0.034999999999999996,0.9874749918778738,0.0,warn_b1_b3_not_independent_rows,partial semi-real evidence,
semi_real_main,semi_real_field,product_code,labeled25_unlabeled100,B5_rule_feature_0.8,B5,2,0.8570589944223563,0.09124555515746274,0.007409886446595249,,0.14294100557764372,-0.09124555515746274,0.0033333333333333335,0.9866666666666666,0.02999999999999997,,1.0,0.7252777777777778,0.005833333333333357,,0.7261111111111112,0.002222222222222181,0.065,0.0016666666666666635,,0.065,0.0016666666666666635,0.9126945671770308,0.0033333333333333335,warn_b1_b3_not_independent_rows;warn_local_style_baseline,partial semi-real evidence,
semi_real_main,semi_real_field,product_code,labeled25_unlabeled100,B6_pr_style_tau0.8,B6,2,0.8794230534633001,0.11360961419840654,0.020448286597927308,,0.12057694653669992,-0.11360961419840654,0.0,0.99,0.033333333333333326,,1.0,0.7519444444444445,0.03250000000000003,,0.7533333333333333,0.029444444444444384,0.11666666666666667,0.05333333333333334,,0.11666666666666667,0.05333333333333334,0.8846303143103917,0.0,warn_b1_b3_not_independent_rows;warn_local_style_baseline,partial semi-real evidence,
learning_curve,semi_real_field,amount,labeled10_unlabeled100,B0_unconstrained,B0,2,0.6097660051584244,0.0,0.0,,0.3902339948415756,0.0,0.20400000000000001,0.838,0.0,,1.0,0.675,0.0,,0.6796666666666666,0.0,0.03,0.0,,0.034,0.0,1.3455052038828532,0.20400000000000001,warn_b1_b3_not_independent_rows;warn_partial_baseline_grid,partial semi-real evidence,
learning_curve,semi_real_field,amount,labeled10_unlabeled100,B4_semi_event_0.1,B4,2,0.9386905570030213,0.3289245518445969,0.03167547287464143,,0.061309442996978714,-0.3289245518445969,0.0,0.996,0.15800000000000003,,1.0,0.6696666666666666,-0.005333333333333357,,0.6696666666666666,-0.010000000000000009,0.034,0.003999999999999998,,0.034,0.0,1.4367087025642395,0.0,warn_b1_b3_not_independent_rows;warn_partial_baseline_grid,partial semi-real evidence,
learning_curve,semi_real_field,amount,labeled25_unlabeled100,B0_unconstrained,B0,2,0.7834720315933228,0.0,0.0,,0.21652796840667726,0.0,0.016,0.918,0.0,,1.0,0.8076666666666668,0.0,,0.8083333333333333,0.0,0.192,0.0,,0.192,0.0,0.6287848156293234,0.016,warn_b1_b3_not_independent_rows;warn_partial_baseline_grid,partial semi-real evidence,
learning_curve,semi_real_field,amount,labeled25_unlabeled100,B4_semi_event_0.1,B4,2,0.9297657436132432,0.14629371201992036,0.026588551774024936,,0.0702342563867569,-0.14629371201992036,0.0,1.0,0.08199999999999996,,1.0,0.8313333333333333,0.023666666666666614,,0.8313333333333333,0.022999999999999965,0.252,0.06000000000000001,,0.252,0.06000000000000001,0.5740329697926839,0.0,warn_b1_b3_not_independent_rows;warn_partial_baseline_grid,partial semi-real evidence,
learning_curve,semi_real_field,amount,labeled50_unlabeled100,B0_unconstrained,B0,2,0.8945429023504258,0.0,0.0,,0.10545709764957423,0.0,0.0,0.964,0.0,,1.0,0.9486666666666667,0.0,,0.9516666666666667,0.0,0.72,0.0,,0.734,0.0,0.24345192432403565,0.0,warn_b1_b3_not_independent_rows;warn_partial_baseline_grid,partial semi-real evidence,
learning_curve,semi_real_field,amount,labeled50_unlabeled100,B4_semi_event_0.1,B4,2,0.9544371197223663,0.05989421737194056,0.02012977404117587,,0.045562880277633666,-0.05989421737194056,0.0,0.998,0.03400000000000003,,1.0,0.957,0.008333333333333304,,0.9573333333333334,0.005666666666666653,0.754,0.033999999999999975,,0.756,0.021999999999999964,0.19050674152374267,0.0,warn_b1_b3_not_independent_rows;warn_partial_baseline_grid,partial semi-real evidence,
