block,task_family,task,setting,seed,variant,variant_family,train_objective,decode_mode,parameters_from,rule_id,same_split,same_seed,same_rule,same_label_alphabet,labeled_size,unlabeled_size,dev_size,epochs,lr,lambda,weight,tau,eta,rule_feature_weight,pr_tau,pr_eta,p_event,illegal_mass,low_p_event_rate,unconstrained_legal_rate,constrained_legal_rate,char_accuracy,constrained_char_accuracy,exact_sequence_accuracy,constrained_exact_sequence_accuracy,nll,hidden_conflict_count,hidden_conflict_rate,fairness_flags,claim_use,notes
real_main,real_source_small_field,invoice_c6d,real_l25_u100,1,B2_event_0.5,B2,labeled_event,unconstrained,,LDDDDDD,true,true,true,true,25,100,300,5,0.08,0.5,,,,,,,0.9251412264506023,0.07485877354939774,0.0,0.9966666666666667,1.0,0.8871428571428571,0.8871428571428571,0.36333333333333334,0.36333333333333334,0.4905462605612619,,0.0,warn_b1_b3_not_independent_rows,real-source small-field local evidence,semi-real CPU-only local probe; not benchmark evidence
real_main,real_source_small_field,invoice_c6d,real_l25_u100,1,B4_semi_event_0.1,B4,semi_event,unconstrained,,LDDDDDD,true,true,true,true,25,100,300,5,0.08,0.1,,,,,,,0.9641103877623876,0.035889612237612445,0.0,1.0,1.0,0.8933333333333333,0.8933333333333333,0.39666666666666667,0.39666666666666667,0.47596147196633476,,0.0,warn_b1_b3_not_independent_rows,real-source small-field local evidence,semi-real CPU-only local probe; not benchmark evidence
real_main,real_source_small_field,invoice_c6d,real_l25_u100,1,B4_semi_event_0.5,B4,semi_event,unconstrained,,LDDDDDD,true,true,true,true,25,100,300,5,0.08,0.5,,,,,,,0.9886004360516866,0.01139956394831343,0.0,1.0,1.0,0.9076190476190477,0.9076190476190477,0.45666666666666667,0.45666666666666667,0.3895731925964355,,0.0,warn_b1_b3_not_independent_rows,real-source small-field local evidence,semi-real CPU-only local probe; not benchmark evidence
real_main,real_source_small_field,invoice_c6d,real_l25_u100,1,B5_rule_feature_0.8,B5,rule_feature,unconstrained,,LDDDDDD,true,true,true,true,25,100,300,5,0.08,,0.8,,,0.8,,,0.9271689687172572,0.07283103128274282,0.0,1.0,1.0,0.8838095238095238,0.8838095238095238,0.3566666666666667,0.3566666666666667,0.49268320946466354,,0.0,warn_b1_b3_not_independent_rows;warn_local_style_baseline,real-source small-field local evidence,semi-real CPU-only local probe; not benchmark evidence
real_main,real_source_small_field,invoice_c6d,real_l25_u100,1,B6_pr_style_tau0.8,B6,pr_style,unconstrained,,LDDDDDD,true,true,true,true,25,100,300,5,0.08,,,0.8,1.0,,0.8,1.0,0.9149709888299307,0.08502901117006934,0.0,0.9933333333333333,1.0,0.8919047619047619,0.8919047619047619,0.39666666666666667,0.39666666666666667,0.4801332875660488,,0.0,warn_b1_b3_not_independent_rows;warn_local_style_baseline,real-source small-field local evidence,semi-real CPU-only local probe; not benchmark evidence
real_main,real_source_small_field,stock_5d,real_l25_u100,0,B0_unconstrained,B0,crf_nll,unconstrained,,DDDDD,true,true,true,true,25,100,300,5,0.08,,,,,,,,0.915080600976944,0.08491939902305601,0.0,1.0,1.0,0.8353333333333334,0.8353333333333334,0.3466666666666667,0.3466666666666667,0.6224768891334533,,0.0,warn_b1_b3_not_independent_rows,real-source small-field local evidence,semi-real CPU-only local probe; not benchmark evidence
real_main,real_source_small_field,stock_5d,real_l25_u100,0,B2_event_0.1,B2,labeled_event,unconstrained,,DDDDD,true,true,true,true,25,100,300,5,0.08,0.1,,,,,,,0.9115616021553675,0.08843839784463248,0.0,1.0,1.0,0.8273333333333334,0.8273333333333334,0.3233333333333333,0.3233333333333333,0.6660614096323649,,0.0,warn_b1_b3_not_independent_rows,real-source small-field local evidence,semi-real CPU-only local probe; not benchmark evidence
real_main,real_source_small_field,stock_5d,real_l25_u100,0,B2_event_0.5,B2,labeled_event,unconstrained,,DDDDD,true,true,true,true,25,100,300,5,0.08,0.5,,,,,,,0.9453733245531718,0.0546266754468282,0.0,1.0,1.0,0.866,0.866,0.45,0.45,0.5419420468012491,,0.0,warn_b1_b3_not_independent_rows,real-source small-field local evidence,semi-real CPU-only local probe; not benchmark evidence
real_main,real_source_small_field,stock_5d,real_l25_u100,0,B4_semi_event_0.1,B4,semi_event,unconstrained,,DDDDD,true,true,true,true,25,100,300,5,0.08,0.1,,,,,,,0.9692249393463135,0.030775060653686515,0.0,1.0,1.0,0.846,0.846,0.4033333333333333,0.4033333333333333,0.5733563575744629,,0.0,warn_b1_b3_not_independent_rows,real-source small-field local evidence,semi-real CPU-only local probe; not benchmark evidence
real_main,real_source_small_field,stock_5d,real_l25_u100,0,B4_semi_event_0.5,B4,semi_event,unconstrained,,DDDDD,true,true,true,true,25,100,300,5,0.08,0.5,,,,,,,0.9906050002574921,0.009394999742507903,0.0,1.0,1.0,0.8806666666666667,0.8806666666666667,0.51,0.51,0.4543627316157023,,0.0,warn_b1_b3_not_independent_rows,real-source small-field local evidence,semi-real CPU-only local probe; not benchmark evidence
