block,claim_use,task,setting,variant,variant_family,runs,mean_p_event,delta_p_event,ci95_delta_p_event,p_event_up_rate,unconstrained_event_rate,delta_unconstrained_event_rate,char_accuracy,delta_char_accuracy,exact_sequence_accuracy,delta_exact_sequence_accuracy,mean_nll,hidden_conflict_rate
r1_controlled_formal,controlled structural robustness,LL-DDD,controlled_labeled25_unlabeled100,B0_unconstrained,B0,20,0.8228580240681768,0.0,0.0,0.0,0.9738333333333333,0.0,0.9735555555555555,0.0,0.8648333333333333,0.0,0.19162704384326934,0.03133333333333333
r1_controlled_formal,controlled structural robustness,LL-DDD,controlled_labeled25_unlabeled100,B2_event_0.1,B2,20,0.8235397289544344,0.0006817048862576836,0.0003199626824612364,0.85,0.9716666666666667,-0.002166666666666672,0.9728611111111111,-0.0006944444444444475,0.8615,-0.0033333333333333383,0.194700799855921,0.030166666666666668
r1_controlled_formal,controlled structural robustness,LL-DDD,controlled_labeled25_unlabeled100,B2_event_0.5,B2,20,0.8294594032317401,0.006601379163563287,0.0014700329940939255,1.0,0.9576666666666667,-0.016166666666666673,0.9680277777777778,-0.00552777777777777,0.8305,-0.03433333333333334,0.2108046631746822,0.0275
r1_controlled_formal,controlled structural robustness,LL-DDD,controlled_labeled25_unlabeled100,B4_semi_event_0.1,B4,20,0.9649860447446506,0.14212802067647382,0.015687228578367848,1.0,1.0,0.02616666666666666,0.9886388888888888,0.015083333333333348,0.9333333333333333,0.06849999999999999,0.08681228960884942,0.0
r1_controlled_formal,controlled structural robustness,LL-DDD,controlled_labeled25_unlabeled100,B4_semi_event_0.5,B4,20,0.9868232381840547,0.16396521411587797,0.01596239033388437,1.0,1.0,0.02616666666666666,0.9875833333333334,0.014027777777777783,0.9281666666666667,0.06333333333333332,0.08063530886173248,0.0
r1_controlled_formal,controlled structural robustness,LLDDD,controlled_labeled25_unlabeled100,B0_unconstrained,B0,20,0.2258769628422742,0.0,0.0,0.0,0.23883333333333334,0.0,0.7683333333333333,0.0,0.21166666666666667,0.0,0.7902613951683044,0.8468333333333333
r1_controlled_formal,controlled structural robustness,LLDDD,controlled_labeled25_unlabeled100,B2_event_0.1,B2,20,0.22585216755704218,-2.479528523205293e-05,0.00019823330429046015,0.4,0.235,-0.0038333333333333357,0.7644666666666666,-0.0038666666666666684,0.2075,-0.004166666666666666,0.8007867765347163,0.8463333333333334
r1_controlled_formal,controlled structural robustness,LLDDD,controlled_labeled25_unlabeled100,B2_event_0.5,B2,20,0.2269578445454099,0.0010808817031356748,0.0013922878206192512,0.55,0.22866666666666666,-0.010166666666666675,0.7544333333333333,-0.013899999999999996,0.1955,-0.016166666666666666,0.8426317994832992,0.844
r1_controlled_formal,controlled structural robustness,LLDDD,controlled_labeled25_unlabeled100,B4_semi_event_0.1,B4,20,0.3569197746763821,0.13104281183410785,0.021759447620471797,1.0,0.38966666666666666,0.15083333333333332,0.7924,0.024066666666666653,0.2125,0.0008333333333333332,0.8439569438536962,0.6891666666666667
r1_controlled_formal,controlled structural robustness,LLDDD,controlled_labeled25_unlabeled100,B4_semi_event_0.5,B4,20,0.6871622040899238,0.4612852412476495,0.046695407198954056,1.0,0.7613333333333333,0.5225,0.7346666666666667,-0.033666666666666664,0.12566666666666668,-0.086,1.4281974627812704,0.2385
r2_semi_real_formal,semi-real field evidence,amount,labeled25_unlabeled100,B0_unconstrained,B0,10,0.7825152944723766,0.0,0.0,0.0,0.8846666666666667,0.0,0.8137222222222222,0.0,0.219,0.0,0.6178250603410933,0.015000000000000001
r2_semi_real_formal,semi-real field evidence,amount,labeled25_unlabeled100,B2_event_0.1,B2,10,0.7746474030514559,-0.007867891420920693,0.0010428283405595218,0.0,0.8556666666666667,-0.02899999999999999,0.8112222222222223,-0.002499999999999991,0.21133333333333332,-0.007666666666666669,0.6272593303786383,0.020666666666666667
r2_semi_real_formal,semi-real field evidence,amount,labeled25_unlabeled100,B2_event_0.5,B2,10,0.7434477698256572,-0.03906752464671929,0.006614928264583141,0.0,0.7553333333333333,-0.12933333333333336,0.8023888888888889,-0.011333333333333329,0.189,-0.029999999999999995,0.6493546972804599,0.07866666666666666
r2_semi_real_formal,semi-real field evidence,amount,labeled25_unlabeled100,B4_semi_event_0.1,B4,10,0.929087299366792,0.14657200489441555,0.009303507738283947,0.0,0.9983333333333333,0.11366666666666665,0.8471666666666666,0.03344444444444443,0.313,0.094,0.5231703112390306,0.0003333333333333334
