block,task,setting,variant,runs,mean_p_event,delta_p_event,ci95_delta_p_event,mean_illegal_mass,delta_illegal_mass,low_p_event_rate,unconstrained_event_rate,delta_unconstrained_event_rate,constrained_event_rate,char_accuracy,delta_char_accuracy,constrained_char_accuracy,delta_constrained_char_accuracy,exact_sequence_accuracy,delta_exact_sequence_accuracy,constrained_exact_sequence_accuracy,delta_constrained_exact_sequence_accuracy,mean_nll,hidden_conflict_rate
real_main,invoice_c6d,real_l25_u100,B4_semi_event_0.1,2,0.9638310011227925,0.06957631026705102,0.013110911546150822,0.03616899887720748,-0.06957631026705102,0.0,0.9966666666666666,0.010000000000000009,1.0,0.8995238095238095,0.020952380952380945,0.8995238095238095,0.020714285714285685,0.43166666666666664,0.08500000000000002,0.43166666666666664,0.08333333333333334,0.4535450313204811,0.0
real_main,invoice_c6d,real_l25_u100,B4_semi_event_0.5,2,0.9879485506812731,0.09369385982553163,0.013841009058554897,0.01205144931872687,-0.09369385982553163,0.0,1.0,0.013333333333333364,1.0,0.9121428571428571,0.033571428571428585,0.9121428571428571,0.033333333333333326,0.48333333333333334,0.1366666666666667,0.48333333333333334,0.135,0.37693197659083777,0.0
real_main,invoice_c6d,real_l25_u100,B5_rule_feature_0.8,2,0.9311329369743665,0.036878246118625,0.0047939359486102884,0.0688670630256335,-0.036878246118625,0.0,0.9966666666666666,0.010000000000000009,1.0,0.8969047619047619,0.018333333333333368,0.8969047619047619,0.01809523809523811,0.42000000000000004,0.07333333333333336,0.42000000000000004,0.07166666666666668,0.455024277142116,0.0
real_main,invoice_c6d,real_l25_u100,B6_pr_style_tau0.8,2,0.9194828429818154,0.025228152126073877,0.0037200795948505224,0.08051715701818463,-0.025228152126073877,0.0033333333333333335,0.99,0.003333333333333355,1.0,0.9014285714285715,0.022857142857142854,0.9019047619047619,0.023095238095238058,0.43833333333333335,0.09166666666666667,0.44,0.09166666666666667,0.4428979007403056,0.0033333333333333335
real_main,stock_5d,real_l25_u100,B0_unconstrained,2,0.9233719489971797,0.0,0.0,0.07662805100282033,0.0,0.0,1.0,0.0,1.0,0.823,0.0,0.823,0.0,0.31,0.0,0.31,0.0,0.6405930361747741,0.0
real_main,stock_5d,real_l25_u100,B2_event_0.1,2,0.9205521376927694,-0.00281981130441028,0.00137040753364573,0.07944786230723061,0.00281981130441028,0.0,1.0,0.0,1.0,0.8156666666666668,-0.007333333333333303,0.8156666666666668,-0.007333333333333303,0.285,-0.02500000000000001,0.285,-0.02500000000000001,0.6821695590019226,0.0
real_main,stock_5d,real_l25_u100,B2_event_0.5,2,0.949675995806853,0.026304046809673298,0.007817806462446841,0.05032400419314703,-0.026304046809673298,0.0,1.0,0.0,1.0,0.86,0.03699999999999998,0.86,0.03699999999999998,0.42666666666666664,0.11666666666666667,0.42666666666666664,0.11666666666666667,0.5526698479652404,0.0
real_main,stock_5d,real_l25_u100,B4_semi_event_0.1,2,0.9719617069760959,0.04858975797891618,0.01088697756528849,0.02803829302390415,-0.04858975797891618,0.0,1.0,0.0,1.0,0.8413333333333333,0.018333333333333313,0.8413333333333333,0.018333333333333313,0.3733333333333333,0.06333333333333332,0.3733333333333333,0.06333333333333332,0.5907016636530558,0.0
real_main,stock_5d,real_l25_u100,B4_semi_event_0.5,2,0.9915308581789335,0.06815890918175382,0.014436360593636791,0.008469141821066506,-0.06815890918175382,0.0,1.0,0.0,1.0,0.8793333333333333,0.056333333333333346,0.8793333333333333,0.056333333333333346,0.49833333333333335,0.18833333333333335,0.49833333333333335,0.18833333333333335,0.4648726970354716,0.0
real_main,stock_5d,real_l25_u100,B5_rule_feature_0.8,2,0.9494081745545069,0.026036225557327264,0.0071224683125813,0.050591825445493066,-0.026036225557327264,0.0,1.0,0.0,1.0,0.8506666666666667,0.027666666666666617,0.8506666666666667,0.027666666666666617,0.3933333333333333,0.08333333333333331,0.3933333333333333,0.08333333333333331,0.564311837832133,0.0
real_main,stock_5d,real_l25_u100,B6_pr_style_tau0.8,2,0.9366402780016263,0.013268329004446688,0.0043963013609249505,0.06335972199837364,-0.013268329004446688,0.0,1.0,0.0,1.0,0.8453333333333333,0.022333333333333316,0.8453333333333333,0.022333333333333316,0.38,0.07,0.38,0.07,0.588798175573349,0.0
