variant,generic_baseline,generic_risk_bin,cases,low_event_cases,high_event_cases,low_event_exact_error,high_event_exact_error,event_within_bin_error_gap
B0_unconstrained,viterbi_margin_inverse,3,300,154,146,0.577922077922078,0.7808219178082192,0.20289983988614124
B0_unconstrained,viterbi_margin_inverse,4,300,151,149,0.7615894039735099,0.8187919463087249,0.057202542335214934
B0_unconstrained,viterbi_margin_inverse,5,300,152,148,0.8092105263157895,0.8581081081081081,0.04889758179231862
B0_unconstrained,viterbi_margin_inverse,6,300,151,149,0.7814569536423841,0.9328859060402684,0.15142895239788434
B0_unconstrained,viterbi_margin_inverse,7,300,151,149,0.8211920529801324,0.959731543624161,0.1385394906440286
B0_unconstrained,viterbi_margin_inverse,8,300,151,149,0.9139072847682119,0.9194630872483222,0.005555802480110228
B0_unconstrained,viterbi_margin_inverse,9,300,151,149,0.9403973509933775,0.9664429530201343,0.026045602026756765
B0_unconstrained,viterbi_margin_inverse,10,300,152,148,0.8947368421052632,0.9527027027027027,0.05796586059743958
B0_unconstrained,viterbi_margin_inverse,weighted_mean,3000,,,,,0.11227110253818912
B0_unconstrained,max_sequence_probability_inverse,1,300,176,124,0.17613636363636365,0.3548387096774194,0.17870234604105573
B0_unconstrained,max_sequence_probability_inverse,2,300,153,147,0.46405228758169936,0.6462585034013606,0.18220621581966123
B0_unconstrained,max_sequence_probability_inverse,3,300,152,148,0.618421052631579,0.75,0.13157894736842102
B0_unconstrained,max_sequence_probability_inverse,4,300,151,149,0.7350993377483444,0.7651006711409396,0.030001333392595253
B0_unconstrained,max_sequence_probability_inverse,5,300,153,147,0.7254901960784313,0.8367346938775511,0.11124449779911971
B0_unconstrained,max_sequence_probability_inverse,6,300,151,149,0.8543046357615894,0.8926174496644296,0.03831281390284014
B0_unconstrained,max_sequence_probability_inverse,7,300,151,149,0.9072847682119205,0.9328859060402684,0.025601137828347942
B0_unconstrained,max_sequence_probability_inverse,8,300,151,149,0.9072847682119205,0.9463087248322147,0.03902395662029423
B0_unconstrained,max_sequence_probability_inverse,9,300,151,149,0.9470198675496688,0.9664429530201343,0.01942308547046545
B0_unconstrained,max_sequence_probability_inverse,10,300,151,149,0.9933774834437086,0.9865771812080537,-0.006800302235654865
B0_unconstrained,max_sequence_probability_inverse,weighted_mean,3000,,,,,0.07492940320071459
B0_unconstrained,neg_log_viterbi_probability,1,300,176,124,0.17613636363636365,0.3548387096774194,0.17870234604105573
B0_unconstrained,neg_log_viterbi_probability,2,300,153,147,0.46405228758169936,0.6462585034013606,0.18220621581966123
B0_unconstrained,neg_log_viterbi_probability,3,300,152,148,0.618421052631579,0.75,0.13157894736842102
B0_unconstrained,neg_log_viterbi_probability,4,300,151,149,0.7350993377483444,0.7651006711409396,0.030001333392595253
B0_unconstrained,neg_log_viterbi_probability,5,300,153,147,0.7254901960784313,0.8367346938775511,0.11124449779911971
B0_unconstrained,neg_log_viterbi_probability,6,300,151,149,0.8543046357615894,0.8926174496644296,0.03831281390284014
B0_unconstrained,neg_log_viterbi_probability,7,300,151,149,0.9072847682119205,0.9328859060402684,0.025601137828347942
B0_unconstrained,neg_log_viterbi_probability,8,300,151,149,0.9072847682119205,0.9463087248322147,0.03902395662029423
B0_unconstrained,neg_log_viterbi_probability,9,300,151,149,0.9470198675496688,0.9664429530201343,0.01942308547046545
B0_unconstrained,neg_log_viterbi_probability,10,300,151,149,0.9933774834437086,0.9865771812080537,-0.006800302235654865
B0_unconstrained,neg_log_viterbi_probability,weighted_mean,3000,,,,,0.07492940320071459
B4_semi_event_0.1,token_marginal_entropy,1,300,224,76,0.26339285714285715,0.34210526315789475,0.0787124060150376
B4_semi_event_0.1,token_marginal_entropy,2,300,172,128,0.5581395348837209,0.6875,0.12936046511627908
B4_semi_event_0.1,token_marginal_entropy,3,300,151,149,0.6556291390728477,0.7046979865771812,0.04906884750433349
B4_semi_event_0.1,token_marginal_entropy,4,300,155,145,0.7741935483870968,0.8275862068965517,0.05339265850945496
B4_semi_event_0.1,token_marginal_entropy,5,300,171,129,0.8304093567251462,0.8604651162790697,0.03005575955392359
