variant,generic_baseline,generic_risk_bin,cases,low_event_cases,high_event_cases,low_event_exact_error,high_event_exact_error,event_within_bin_error_gap
B0_unconstrained,max_sequence_probability_inverse,6,100,51,49,0.8627450980392157,0.8571428571428571,-0.0056022408963586345
B0_unconstrained,max_sequence_probability_inverse,7,100,51,49,0.9215686274509803,0.9387755102040817,0.017206882753101338
B0_unconstrained,max_sequence_probability_inverse,8,100,51,49,0.8627450980392157,0.9591836734693877,0.09643857543017198
B0_unconstrained,max_sequence_probability_inverse,9,100,51,49,0.9803921568627451,0.9591836734693877,-0.021208483393357347
B0_unconstrained,max_sequence_probability_inverse,10,100,51,49,0.9803921568627451,1,0.019607843137254943
B0_unconstrained,max_sequence_probability_inverse,weighted_mean,1000,,,,,0.03620371225413242
B0_unconstrained,neg_log_viterbi_probability,1,100,52,48,0.15384615384615385,0.3958333333333333,0.24198717948717946
B0_unconstrained,neg_log_viterbi_probability,2,100,51,49,0.5686274509803921,0.5918367346938775,0.023209283713485407
B0_unconstrained,neg_log_viterbi_probability,3,100,52,48,0.7692307692307693,0.7708333333333334,0.0016025641025640969
B0_unconstrained,neg_log_viterbi_probability,4,100,51,49,0.803921568627451,0.8367346938775511,0.03281312525010005
B0_unconstrained,neg_log_viterbi_probability,5,100,51,49,0.9215686274509803,0.8775510204081632,-0.0440176070428171
B0_unconstrained,neg_log_viterbi_probability,6,100,51,49,0.8627450980392157,0.8571428571428571,-0.0056022408963586345
B0_unconstrained,neg_log_viterbi_probability,7,100,51,49,0.9215686274509803,0.9387755102040817,0.017206882753101338
B0_unconstrained,neg_log_viterbi_probability,8,100,51,49,0.8627450980392157,0.9591836734693877,0.09643857543017198
B0_unconstrained,neg_log_viterbi_probability,9,100,51,49,0.9803921568627451,0.9591836734693877,-0.021208483393357347
B0_unconstrained,neg_log_viterbi_probability,10,100,51,49,0.9803921568627451,1,0.019607843137254943
B0_unconstrained,neg_log_viterbi_probability,weighted_mean,1000,,,,,0.03620371225413242
B4_semi_event_0.1,token_marginal_entropy,1,100,78,22,0.32051282051282054,0.45454545454545453,0.134032634032634
B4_semi_event_0.1,token_marginal_entropy,2,100,57,43,0.49122807017543857,0.627906976744186,0.13667890656874748
B4_semi_event_0.1,token_marginal_entropy,3,100,51,49,0.6078431372549019,0.7142857142857143,0.10644257703081239
B4_semi_event_0.1,token_marginal_entropy,4,100,51,49,0.6470588235294118,0.7142857142857143,0.0672268907563025
B4_semi_event_0.1,token_marginal_entropy,5,100,52,48,0.8076923076923077,0.8333333333333334,0.02564102564102566
B4_semi_event_0.1,token_marginal_entropy,6,100,51,49,0.8627450980392157,0.8367346938775511,-0.02601040416166467
B4_semi_event_0.1,token_marginal_entropy,7,100,51,49,0.9411764705882353,0.9591836734693877,0.01800720288115243
B4_semi_event_0.1,token_marginal_entropy,8,100,51,49,0.9215686274509803,0.9795918367346939,0.05802320928371352
B4_semi_event_0.1,token_marginal_entropy,9,100,51,49,0.9803921568627451,1,0.019607843137254943
B4_semi_event_0.1,token_marginal_entropy,10,100,51,49,0.9803921568627451,0.9795918367346939,-0.0008003201280512018
B4_semi_event_0.1,token_marginal_entropy,weighted_mean,1000,,,,,0.053884956504192706
B4_semi_event_0.1,sequence_entropy,1,100,77,23,0.35064935064935066,0.43478260869565216,0.0841332580463015
B4_semi_event_0.1,sequence_entropy,2,100,58,42,0.46551724137931033,0.7380952380952381,0.2725779967159278
B4_semi_event_0.1,sequence_entropy,3,100,53,47,0.5660377358490566,0.6595744680851063,0.09353673223604975
B4_semi_event_0.1,sequence_entropy,4,100,51,49,0.5686274509803921,0.7755102040816326,0.2068827531012405
B4_semi_event_0.1,sequence_entropy,5,100,53,47,0.8113207547169812,0.8723404255319149,0.06101967081493376
B4_semi_event_0.1,sequence_entropy,6,100,51,49,0.8627450980392157,0.8367346938775511,-0.02601040416166467
B4_semi_event_0.1,sequence_entropy,7,100,51,49,0.9607843137254902,0.9387755102040817,-0.02200880352140855
B4_semi_event_0.1,sequence_entropy,8,100,52,48,0.9615384615384616,0.9375,-0.024038461538461564
B4_semi_event_0.1,sequence_entropy,9,100,51,49,0.9607843137254902,0.9795918367346939,0.01880752300920363
B4_semi_event_0.1,sequence_entropy,10,100,51,49,0.9803921568627451,1,0.019607843137254943
B4_semi_event_0.1,sequence_entropy,weighted_mean,1000,,,,,0.0684508107839377
B4_semi_event_0.1,viterbi_margin_inverse,1,100,74,26,0.36486486486486486,0.5,0.13513513513513514
B4_semi_event_0.1,viterbi_margin_inverse,2,100,55,45,0.43636363636363634,0.7111111111111111,0.2747474747474748
B4_semi_event_0.1,viterbi_margin_inverse,3,100,51,49,0.5882352941176471,0.8163265306122449,0.22809123649459784
B4_semi_event_0.1,viterbi_margin_inverse,4,100,56,44,0.75,0.9090909090909091,0.15909090909090906
